alpine shootingstar,Poa annua L. var. aquatica Asch.
alpine shootingstar,Poa annua L. var. reptans Hausskn.
alpine slender buckwheat,Festuca megalura Nutt.
alpine spicywintergreen,Festuca megalura Nutt. var. hirsuta (Hack.) Asch. & Graebn.
alpine springbeauty,Festuca myuros L.
alpine springbeauty,Vulpia megalura (Nutt.) Rydb.
 ,Vulpia myuros (L.) C.C. Gmel. var. hirsuta Hack.
alpine sulphur-flower buckwheat,Vulpia myuros (L.) C.C. Gmel. var. myuros
 ,Aira danthonioides Trin.
alpine timothy,Deschampsia calycina J. Presl
 ,Deschampsia danthonioides (Trin.) Munro var. gracilis (Vasey) Munz
 ,Sporobolus confusus auct. non (Fourn.) Vasey
 ,Sagina apetala Ard. var. barbata Fenzl
alpine waterleaf,Polemoniella micrantha (Benth.) A. Heller
alpine willow,Bulbostylis annua Nutt.
 ,Alopecurus monspeliensis L.
 ,Ambrosia elatior L.
 ,Mimulus spissus A.L. Grant var. lincolnensis Edwin
 ,Arenaria pusilla S. Watson var. diffusa Maguire
 ,Arenaria pusilla S. Watson
 ,Lophochlaena californica Nees
 ,Lophochlaena californica Nees var. davyi (L.D. Benson) Á. Löve & D. Löve
 ,Pleuropogon davyi L.D. Benson
alpineflames,"Aira capillaris Host, non Savi"
 ,Aira caryophyllea L. var. capillaris (Host) Mutel
alpinegold,Aira elegans Willd. ex Kunth ssp. ambigua (Arcang.) Holub
alsike clover,Aira elegantissima Schur
 ,Aspris capillaris (Host) Hitchc.
 ,Anthoxanthum odoratum L. var. puelii (Lecoq & Lamotte) Coss. & Durieu
 ,Anthoxanthum ovatum Lag. var. aristatum (Boiss.) Pérez Lara
 ,Anthoxanthum puelii Lecoq & Lamotte
alumroot,Sisymbrium murale L.
Alva Day's gilia,Claytonia fontana (L.) R.J. Davis
 ,Montia dipetala Suksd.
 ,Montia fontana L. ssp. amporitana auct. non Sennen
Alva Day's gilia,Montia fontana L. ssp. chondrosperma (Fenzl) Walter
 ,Montia fontana L. ssp. fontana
 ,Montia fontana L. var. lamprosperma (Cham.) Fenzl
Alva Day's pincushionplant,Montia fontana L. var. tenerrima (A. Gray) Fernald & Wiegand
Alvord oak,Montia fontana L. var. variabilis (Walters) Kozhevn.
 ,Montia hallii (A. Gray) Greene
alyssum,Montia lamprosperma Cham.
 ,Montia minor C.C. Gmel.
 ,Montia verna Neck.
 ,"Melilotus indica (L.) All., orth. var."
 ,Purshia tridentata (Pursh) DC. var. tridentata
 ,Oenothera deltoides Torr. & Frém. var. howellii Munz
alyssum,Mentha rotundifolia auct. non (L.) Huds.
 ,Atropa physalodes L.
alyssum evening primrose,"Physalodes physalodes (L.) Britton, nom. inval."
 ,Armeniaca vulgaris Lam.
 ,Prunus armeniaca L. var. vulgaris Zabel
 ,Sphaeralcea ambigua A. Gray var. ambigua
 ,Aspalthium bituminosum (L.) Kuntze
 ,Psoralea bituminosa L.
Amador County vervain,Sagina linnaei C. Presl
Amargosa niterwort,Sagina micrantha (Bunge) Fernald
amaryllis,Sagina saginoides (L.) Karst. var. hesperia Fernald
amberboa,Spergella saginoides (L.) Rchb.
amblyopappus,Trientalis arctica Fisch. ex Hook.
ambrosia leaf bur ragweed,Trientalis europaea L. var. arctica (Fisch. ex Hook.) Ledeb.
